Date,Price,Open,High,Low,Vol,Change %
12/31/2025,48.12,48.8,48.85,47.93,969.17,-1.39%
12/30/2025,48.8,49.24,49.41,48.2,1.2,-1.09%
12/29/2025,49.34,48.95,49.5,47.85,1.5,-0.36%
12/26/2025,49.52,49.21,49.68,48.91,552.18,0.71%
12/24/2025,49.17,48.93,49.68,48.37,510.21,0.49%
12/23/2025,48.93,48.62,49.44,47.33,1.01,-0.57%
12/22/2025,49.21,48.4,49.43,47.88,1.24,3.56%
12/19/2025,47.52,46.05,47.88,45.9,2.33,3.53%
12/18/2025,45.9,44.6,46.09,44.2,1.37,4.56%
12/17/2025,43.9,44.52,45.29,43.81,1.6,-1.22%
12/16/2025,44.44,45,46,44.12,2.16,-2.93%
12/15/2025,45.78,47.9,48.36,45.29,1.9,-3.94%
12/12/2025,47.66,49.12,49.49,47.5,1.1,-3.07%
12/11/2025,49.17,50,50.85,47.9,1.44,-2.88%
12/10/2025,50.63,49.43,51.54,49.15,1.41,1.83%
12/09/2025,49.72,48.99,51.9,48.66,2.49,0.46%
12/08/2025,49.49,48.91,49.99,48.36,1.57,2.46%
12/05/2025,48.3,46.36,48.4,45.99,1.86,4.43%
12/04/2025,46.25,45.73,47.4,45.51,2.16,0.78%
12/03/2025,45.89,44.46,45.99,43.86,2.39,2.85%
12/02/2025,44.62,45.3,47.17,44.14,2.38,0.56%
12/01/2025,44.37,43.82,44.41,42.77,2.08,-0.34%
11/28/2025,44.52,44.98,45.34,44.12,818.66,-1.35%
11/26/2025,45.13,44.87,46.54,44.15,1.9,0.51%
11/25/2025,44.9,45.15,45.95,43.67,1.69,-0.55%
11/24/2025,45.15,44.34,45.7,44.12,1.26,3.06%
11/21/2025,43.81,43.24,44.37,42.01,1.85,1.46%
11/20/2025,43.18,45.18,46.1,42.84,1.77,-2.06%
11/19/2025,44.09,44.3,45.94,43.87,1.44,0.18%
11/18/2025,44.01,43.39,44.48,41.96,1.93,-1.21%
11/17/2025,44.55,45.64,46.44,43.97,2.13,-2.81%
11/14/2025,45.84,43.22,46.83,43,1.87,1.44%
11/13/2025,45.19,47.65,48.63,44.84,2.92,-6.57%
11/12/2025,48.37,50.63,50.85,47.37,2.46,-3.26%
11/11/2025,50,51.03,51.75,49.74,2.52,-3.23%
11/10/2025,51.67,50.33,52.2,49.91,3.48,4.43%
11/07/2025,49.48,46.71,49.51,45.58,3.67,5.10%
11/06/2025,47.08,48.03,49.62,45.44,5.55,2.77%
11/05/2025,45.81,45.32,46.68,42.5,11.26,18.01%
11/04/2025,38.82,40,40.19,38.45,4.64,-6.30%
11/03/2025,41.43,40.99,41.8,39.91,2.5,1.89%
10/31/2025,40.66,39,41.05,38.84,3.88,7.17%
10/30/2025,37.94,39.05,39.53,37.83,1.9,-4.19%
10/29/2025,39.6,40,40.76,39.15,2.48,-0.33%
10/28/2025,39.73,40.34,41.14,39.71,1.8,-1.61%
10/27/2025,40.38,40,40.95,39.71,1.79,2.36%
10/24/2025,39.45,40.37,40.76,39.22,1.5,-0.40%
10/23/2025,39.61,38.53,40.18,38.53,1.8,1.62%
10/22/2025,38.98,39.32,39.94,38.25,2.52,-1.89%
10/21/2025,39.73,40.85,41.67,39.6,2.52,-3.33%
10/20/2025,41.1,42.24,42.61,41,2.34,-0.75%
10/17/2025,41.41,42.23,42.95,41.29,2.39,-3.88%
10/16/2025,43.08,44,44.86,42.14,4.35,-0.85%
10/15/2025,43.45,42.36,44.2,41.12,5.34,7.34%
10/14/2025,40.48,38.5,42.12,37.5,4.89,2.40%
10/13/2025,39.53,37.85,40.8,37.54,3.86,6.01%
10/10/2025,37.29,39.8,40.4,37.09,2.88,-5.69%
10/09/2025,39.54,38.88,40.54,38.45,2.58,4.49%
10/08/2025,37.84,38.5,39.26,37.82,2.24,-1.18%
10/07/2025,38.29,39,39.59,37.74,3.1,-0.26%
10/06/2025,38.39,37.9,40.92,37.54,3.21,2.73%
10/03/2025,37.37,38.87,39.25,37.28,2.22,-3.46%
10/02/2025,38.71,36.81,38.86,36.62,3.51,7.92%
10/01/2025,35.87,33.8,35.94,33.74,2.79,5.01%
09/30/2025,34.16,35.34,35.46,33.69,1.84,-3.56%
09/29/2025,35.42,35.43,35.78,34.7,1.53,0.91%
09/26/2025,35.1,34.99,35.29,34.69,2.41,-0.09%
09/25/2025,35.13,35.52,35.88,34.87,1.43,-3.28%
09/24/2025,36.32,37.06,37.3,35.38,1.33,-1.73%
09/23/2025,36.96,37.64,38.73,36.92,3.62,-1.99%
09/22/2025,37.71,36.43,37.81,35.92,3.42,3.12%
09/19/2025,36.57,37.34,37.66,36.5,5.55,-1.72%
09/18/2025,37.21,37,37.75,36.72,2.83,2.65%
09/17/2025,36.25,36.45,37.47,35.79,2.52,-0.22%
09/16/2025,36.33,36.92,37,35.92,2.53,-1.76%
09/15/2025,36.98,35.86,37.28,35.81,2.84,3.61%
09/12/2025,35.69,36.78,36.95,35.63,2.99,-2.38%
09/11/2025,36.56,34.15,36.57,33.93,3.09,6.93%
09/10/2025,34.19,34.99,35.88,34.02,3.09,-0.38%
09/09/2025,34.32,33.3,34.78,33.08,3.02,3.03%
09/08/2025,33.31,32.82,33.77,32.74,2.32,1.68%
09/05/2025,32.76,32.64,33.6,32.35,2.99,1.99%
09/04/2025,32.12,31.74,32.21,30.89,1.58,0.25%
09/03/2025,32.04,31.87,32.46,31.47,1.8,0.53%
09/02/2025,31.87,31.62,32.27,31.25,1.55,-2.30%
08/29/2025,32.62,33.1,33.5,32.41,1.6,-2.22%
08/28/2025,33.36,32.76,33.74,32.75,3.45,3.09%
08/27/2025,32.36,30.76,32.42,30.76,2.32,5.13%
08/26/2025,30.78,31.03,31.46,30.36,2.56,-0.97%
08/25/2025,31.08,31.4,31.64,30.83,1.33,-1.43%
08/22/2025,31.53,30.11,31.69,30.05,1.79,5.14%
08/21/2025,29.99,29.99,30.36,29.62,1.11,-0.73%
08/20/2025,30.21,30.62,30.95,30.05,1.46,-2.20%
08/19/2025,30.89,31.77,31.84,30.59,1.38,-2.56%
08/18/2025,31.7,30.89,31.95,30.74,2.16,2.13%
08/15/2025,31.04,30.66,31.53,30.51,1.89,1.64%
08/14/2025,30.54,31.15,31.63,30.16,3.31,-3.81%
08/13/2025,31.75,30.05,31.92,29.89,5.36,5.66%
08/12/2025,30.05,29.45,30.27,28.79,11.56,1.66%
08/11/2025,29.56,31.3,31.36,28.94,10.49,-10.56%
08/08/2025,33.05,34,34.43,32.17,2.59,-3.73%
08/07/2025,34.33,37.3,37.4,33.45,3.17,-5.87%
08/06/2025,36.47,35.57,37,34.92,5.2,4.77%
08/05/2025,34.81,30.99,35.28,29.51,10.66,28.88%
08/04/2025,27.01,26.25,27.13,26.2,3.44,4.93%
08/01/2025,25.74,27.5,27.6,25.56,3.05,-7.61%
07/31/2025,27.86,28.25,28.68,27.68,2.46,0.22%
07/30/2025,27.8,28.61,28.75,27.5,1.45,-2.32%
07/29/2025,28.46,29.42,29.73,28.24,1.22,-2.37%
07/28/2025,29.15,29.07,29.74,28.5,1.45,1.22%
07/25/2025,28.8,28.88,29.38,28.75,1.06,0.21%
07/24/2025,28.74,28.68,29.09,28.53,1.19,-0.28%
07/23/2025,28.82,29.17,29.27,28.45,1.82,0.14%
07/22/2025,28.78,29.18,29.59,28.59,1.85,-1.24%
07/21/2025,29.14,29.71,30.37,28.97,1.93,-1.29%
07/18/2025,29.52,29.41,30.07,28.78,1.44,1.30%
07/17/2025,29.14,28.52,29.69,28.52,1.63,2.43%
07/16/2025,28.45,28.5,28.6,27.35,1.48,0.60%
07/15/2025,28.28,28.84,29.12,28.26,1.26,-0.70%
07/14/2025,28.48,28.16,28.85,27.87,1.75,0.89%
07/11/2025,28.23,29.01,29.43,28.14,1.17,-4.47%
07/10/2025,29.55,30.07,30.18,29.11,932.95,-0.94%
07/09/2025,29.83,29.8,30.37,29.38,1.48,1.26%
07/08/2025,29.46,29.28,29.69,28.91,1.57,2.04%
07/07/2025,28.87,28.9,29.45,28.66,1.28,-1.13%
07/03/2025,29.2,28.7,29.25,28.7,739.74,2.82%
07/02/2025,28.4,28.22,29.3,28.11,2.54,1.36%
07/01/2025,28.02,28.1,28.71,27.42,2.6,-1.89%
06/30/2025,28.56,28.6,28.68,27.87,1.43,1.06%
06/27/2025,28.26,28.12,28.68,27.75,1.72,1.36%
06/26/2025,27.88,27.98,28.08,27.09,1.79,0.18%
06/25/2025,27.83,28.2,28.42,27.72,1.26,-0.89%
06/24/2025,28.08,28.5,28.76,28.06,1.4,0.68%
06/23/2025,27.89,27.13,27.91,26.75,1.48,1.94%
06/20/2025,27.36,28.09,28.62,27.23,1.57,-1.62%
